Date,Stock Price,Option Price,Implied Volatility,Option Delta,Hedging Error,PNL Naked Short Call,PNL Hedged Portfolio,
2011-07-05,532.44,44.2,1.90239,0.72057,0,0,0
2011-07-06,535.36,46.9,1.95417,0.731282,-0.598495,-2.7,-0.598495
2011-07-07,546.6,55.3,1.94206,0.785124,-0.781493,-11.1,-0.781493
2011-07-08,531.99,43.95,1.90887,0.717665,-0.90513,0.25,-0.90513
2011-07-11,527.28,41,1.94054,0.689966,-1.33762,3.2,-1.33762
2011-07-12,534.01,46.4,1.99699,0.721084,-2.09634,-2.2,-2.09634
2011-07-13,538.26,49.3,1.97792,0.743484,-1.93416,-5.1,-1.93416
2011-07-14,528.94,41.15,1.85375,0.705497,-0.715678,3.05,-0.715678
2011-07-15,597.62,99.65,1.91498,0.938074,-10.7641,-55.45,-10.7641
2011-07-18,594.94,97.65,2.01454,0.924135,-11.281,-53.45,-11.281
2011-07-19,602.55,103.8,1.78566,0.956813,-10.4011,-59.6,-10.4011
2011-07-20,595.35,97.8,1.97029,0.929001,-11.2934,-53.6,-11.2934
2011-07-21,606.99,108.15,1.81351,0.96033,-10.8333,-63.95,-10.8333
2011-07-22,618.23,118.7,1.66626,0.980993,-10.5931,-74.5,-10.5931
2011-07-25,618.98,119.95,1.89209,0.967888,-11.1113,-75.75,-11.1113
2011-07-26,622.52,123.25,1.83792,0.974469,-10.9888,-79.05,-10.9888
2011-07-27,607.22,108.65,1.89362,0.954335,-11.3023,-64.45,-11.3023
2011-07-28,610.94,112.1,1.86081,0.961487,-11.2062,-67.9,-11.2062
2011-07-29,603.69,106.8,2.21138,0.922563,-12.8811,-62.6,-12.8811
